"depths","AMBROSIA","ARTEMISIA","ASTERX","BETULA","CHENOAMX","CYPERACE","PINUSX","POACEAE","QUERCUS","URTICACX","RUMEOXYR"
1,101,20,6,4,27,15,18,41,68,29,1
10,113,15,8,5,34,10,33,43,58,21,0
20,102,13,7,6,25,15,21,44,56,17,1
30,106,16,16,7,18,16,21,53,51,13,0
40,38,28,10,14,6,28,27,39,58,16,0
50,42,27,13,7,4,25,51,34,89,15,0
60,30,30,17,9,6,24,44,56,74,17,0
70,24,35,12,13,2,24,40,56,45,8,0
80,30,36,12,11,9,27,44,45,61,5,0
90,24,43,12,11,9,22,55,42,72,9,0
100,31,29,12,9,10,28,36,58,60,12,0
110,29,28,18,14,6,29,32,55,65,13,1
120,33,20,17,21,11,28,35,61,70,25,1
130,15,28,7,12,7,29,38,45,78,11,0
140,21,28,11,12,4,22,42,59,73,18,1
150,24,29,8,17,7,33,40,62,57,14,1
