"depths","ALNUSX","AMBROSIA","BETULA","OSTRYCAR","PICEAX","PINUSX","QUERCUS","SPHAGNUM","TSUGAX","URTICACX","RUMEOXYR","POACEAE"
0.25,3,13,48,2,7,156,16,4,8,1,0,3
1.25,6,9,34,2,5,105,13,4,6,3,0,5
2.25,7,16,47,2,5,136,14,4,11,7,0,5
3.75,6,14,53,3,6,156,13,7,4,3,1,3
5.75,4,11,39,0,3,138,15,2,9,3,0,1
7.75,5,7,37,3,4,126,10,4,11,6,1,3
9.75,1,9,54,0,7,148,9,0,8,3,0,3
12.25,2,10,29,3,6,137,11,4,10,2,0,2
14.75,5,10,49,2,6,149,5,4,12,4,0,1
17.25,2,9,35,2,7,131,6,0,6,0,0,2
19.25,2,0,45,3,10,158,13,1,13,4,0,2
20.75,1,5,43,3,2,107,6,2,9,2,0,1
22.25,3,2,52,3,8,153,2,1,9,2,0,1
24.25,4,0,37,1,5,126,12,1,5,1,0,1
26.25,2,1,51,4,3,132,8,2,10,4,0,2
28.75,2,1,32,2,3,128,10,4,10,0,0,2
32.5,2,1,31,4,1,155,9,4,9,1,0,1
