"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","FRAXINUX","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS"
1,15,31,5,44,6,2,213,2818,31,6
10,18,51,12,49,6,4,219,2308,36,8
20,18,16,8,45,6,6,204,1734,31,4
30,13,14,15,45,4,4,235,2642,31,3
40,14,9,6,46,4,5,208,2488,41,7
50,5,5,7,30,6,5,226,2100,25,3
60,17,12,8,31,9,4,214,1907,23,6
70,16,6,4,38,3,0,203,1900,39,1
80,10,6,5,31,2,5,210,1941,37,3
90,15,6,13,34,4,5,183,3105,40,5
100,14,5,9,33,6,5,213,2109,49,6
110,21,6,6,42,4,0,178,2110,46,3
120,16,4,10,27,5,2,177,1897,59,5
130,27,1,8,45,4,5,198,2086,44,4
140,19,8,14,35,7,13,158,2112,69,7
150,22,10,6,45,5,5,174,1674,67,7
160,26,4,12,52,6,3,159,1530,64,7
170,20,5,11,50,9,6,128,1666,69,12
175,32,6,15,53,9,21,125,2232,80,8
