"depths","ABIES","AMBROSIA","ARTEMISIA","BETULA","PICEAX","POACEAE","POPULUS","QUERCUS","TSUGAX","ULMUS"
0.5,5,44,3,165,10,15,35,69,13,14
12.5,5,21,2,112,10,7,9,19,13,4
14.5,6,23,6,137,9,7,11,20,20,9
16.5,2,11,3,179,18,3,9,36,25,7
17.5,6,9,2,179,11,4,19,27,20,4
19.5,8,10,7,188,8,5,8,25,27,5
20.5,9,7,6,180,11,5,12,36,30,12
23.5,4,2,5,105,10,3,5,22,11,8
26.5,10,4,11,119,10,1,7,36,26,6
30.5,4,4,5,107,1,2,4,35,24,1
37.5,3,2,3,72,7,5,4,22,14,4
42.5,1,4,3,109,8,6,4,25,31,3
47.5,6,2,4,81,6,4,11,27,27,5
57.5,2,7,1,99,5,4,4,12,12,9
67.5,2,0,3,94,5,2,7,13,26,8
77.5,1,4,7,92,4,2,3,27,17,7
87.5,1,0,6,93,2,2,12,17,22,12
96.5,1,0,3,92,4,1,2,17,19,4
102.5,1,2,4,104,4,2,8,39,16,6
107.5,2,5,1,124,2,8,10,42,10,6
117.5,1,3,4,98,6,5,5,30,25,8
127.5,0,1,3,113,5,5,11,26,13,3
