"depths","ACERX","ALNUSX","BETULA","CYPERACE","FAGUS","FRAXINUX","OSTRYCAR","PINUSX","QUERCUS","ULMUS","AMBROSIA","POACEAE"
0.5,11,15,33,10,15,6,10,41,54,14,43,12
20,7,17,37,10,23,15,7,53,67,12,13,3
40,12,14,47,7,16,15,12,44,74,14,9,4
50,11,12,44,3,25,8,18,53,89,14,9,3
60,4,4,52,4,20,13,13,73,74,18,3,6
80,7,17,37,9,23,15,7,53,67,12,4,3
100,7,16,41,6,19,11,11,77,97,19,4,2
120,4,14,38,5,25,11,15,73,85,10,0,2
130,5,13,31,10,22,7,13,65,83,22,7,5
160,7,4,29,6,36,11,16,64,96,9,2,3
180,11,8,23,7,10,16,12,76,89,23,4,3
200,12,3,15,4,7,9,15,103,95,16,1,7
230,7,6,31,3,12,17,11,96,69,11,6,4
240,6,7,36,9,12,9,12,88,82,13,3,2
260,6,7,24,16,11,5,13,76,97,25,5,3
280,4,10,28,8,8,11,12,81,99,20,3,6
300,15,15,30,6,21,14,7,65,108,21,4,5
