"depths","ACERX","AMBROSIA","BETULA","CUPRESSA","OSTRYCAR","PICEAX","PINUSX","QUERCUS","TSUGAX","ULMUS","RUMEOXYR","POACEAE"
5,4,23,106,23,7,8,57,29,4,3,0,14
20,9,64,47,27,3,8,42,22,7,13,0,6
30,5,50,82,16,6,12,87,25,48,14,0,13
35,10,18,60,7,3,8,54,19,37,8,0,3
40,6,31,91,21,4,12,69,21,42,7,1,14
45,9,26,119,24,9,9,60,24,39,5,0,2
50,11,7,110,24,9,7,77,30,54,8,0,1
60,5,2,92,43,5,13,71,31,25,6,0,1
100,9,5,97,17,20,10,59,48,20,24,0,2
140,21,3,79,12,15,6,63,32,37,12,0,3
180,16,2,91,8,15,9,92,14,66,10,0,0
