"depths","AMBROSIA","ARTEMISIA","BETULA","CHENOAMX","CYPERACE","OSTRYCAR","PINUSX","POACEAE","QUERCUS","ULMUS","RUMEOXYR"
0,78,13,14,19,9,8,16.5,21,90,44,0
5,78,12,10,22,3,14,11,28,64,14,0
10,122,14,18,29,7,17,16.5,37,56,22,1
15,161,16,13,17,8,20,20.5,48,78,25,0
20,173,12,17,31,11,22,19.5,49,84,17,1
25,152,16,23,24,12,28,43,51,101,16,1
30,86,15,19,10,5,27,23,36,106,7,0
35,22,36,27,4,29,44,44,39,145,16,0
40,19,32,36,11,23,70,46,43,156,12,1
45,19,24,25,5,13,51,48.5,25,117,19,0
50,30,22,52,10,16,70,43,32,162,17,0
55,32,30,43,5,21,67,61.5,40,149,16,0
65,39,38,49,11,13,55,40.5,53,141,8,0
75,36,26,32,7,29,86,65,51,126,19,0
85,29,22,29,7,25,62,42.5,32,120,16,0
95,22,14,26,1,14,41,33,27,98,15,0
100,26,39,48,5,29,42,58,63,126,11,0
105,18,26,22,6,19,40,44.5,27,113,11,0
110,30,37,39,13,17,49,50.5,47,68,11,0
115,8,24,23,4,10,43,44,33,71,10,0
125,15,31,43,5,36,58,62.5,58,110,17,1
135,19,33,27,6,24,57,44.5,66,75,12,0
145,11,27,27,3,21,57,51,41,77,9,1
150,18,41,39,13,27,73,64.5,61,114,13,0
160,24,29,23,4,14,59,38,52,97,13,1
175,43,32,24,11,29,53,58.5,49,95,12,0
185,9,34,28,13,20,61,45,81,85,19,0
190,19,38,19,7,15,50,38,55,99,18,0
